,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,970","3,478","4,044","5,158","5,188","4,410","5,466","5,656","5,425","4,939","5,572","5,271","5,047"
Expenses +,"3,569","3,240","3,712","4,663","4,588","3,803","4,663","4,668","4,505","4,100","4,658","4,332","4,310"
Operating Profit,401,238,331,495,600,608,804,988,920,840,914,939,736
OPM %,10%,7%,8%,10%,12%,14%,15%,17%,17%,17%,16%,18%,15%
Other Income +,42,32,-2,44,79,37,22,40,69,51,37,29,28
Interest,119,160,148,169,162,160,189,182,174,154,158,173,139
Depreciation,118,110,117,118,126,132,141,147,149,148,151,151,153
Profit before tax,205,1,64,252,392,354,496,700,667,588,643,645,473
Tax %,40%,"2,275%",67%,43%,24%,31%,28%,27%,28%,29%,26%,26%,82%
Net Profit +,122,-16,21,143,298,244,356,512,480,416,475,479,87
EPS in Rs,1.98,0.08,0.93,3.35,5.58,4.14,5.90,8.34,7.85,6.90,7.81,7.92,4.55
Raw PDF,,,,,,,,,,,,,
