,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,161,161,161,161,161,161,161,161,161,161,162,121
Reserves,88,191,237,329,687,886,"1,048","1,661","2,269","2,691","3,761","5,301"
Borrowings +,317,227,173,395,677,452,"1,657","3,630","7,846","9,408","16,887","21,083"
Other Liabilities +,"1,006",784,826,"1,162","1,349","3,165","1,576","2,729","3,370","3,308","4,814","3,543"
Total Liabilities,"1,573","1,363","1,397","2,047","2,874","4,665","4,443","8,181","13,646","15,569","25,623","30,048"
Fixed Assets +,35,35,35,35,38,44,198,161,184,258,529,676
CWIP,2,4,2,3,4,4,8,8,14,31,30,3
Investments,100,1,1,2,4,3,2,469,254,924,406,42
Other Assets +,"1,436","1,323","1,358","2,008","2,828","4,614","4,234","7,543","13,195","14,356","24,658","29,327"
Total Assets,"1,573","1,363","1,397","2,047","2,874","4,665","4,443","8,181","13,646","15,569","25,623","30,048"
