,Dec 2024,Mar 2025
Promoters +,76.55%,76.55%
FIIs +,9.10%,9.87%
DIIs +,5.87%,5.88%
Public +,8.47%,7.69%
No. of Shareholders,"1,87,356","1,86,402"
