,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,36,253,245,321,327,465,643
Cash from Investing Activity +,25,-553,3,-14,-41,-15,-269
Cash from Financing Activity +,-2,3,-25,-25,-21,-980,-128
Net Cash Flow,59,-297,223,282,265,-530,246
