,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"5,328","5,296","5,096","5,890","6,431","6,759","6,765","6,804","6,948","6,797","6,938","7,070","7,306"
Interest,"3,551","3,639","3,886","4,232","4,378","4,493","4,600","4,646","4,649","4,749","4,879","4,950","4,950"
Expenses +,456,504,811,"1,069",582,602,670,686,800,392,372,297,549
Financing Profit,"1,320","1,153",399,589,"1,472","1,664","1,496","1,473","1,500","1,656","1,687","1,823","1,806"
Financing Margin %,25%,22%,8%,10%,23%,25%,22%,22%,22%,24%,24%,26%,25%
Other Income +,9,6,5,6,0,0,0,0,0,2,2,1,0
Depreciation,15,16,16,17,19,19,13,18,18,22,24,25,26
Profit before tax,"1,314","1,143",388,577,"1,453","1,645","1,483","1,454","1,482","1,635","1,665","1,798","1,780"
Tax %,15%,19%,20%,20%,18%,20%,20%,20%,27%,20%,20%,20%,23%
Net Profit +,"1,114",926,313,462,"1,191","1,319","1,192","1,169","1,082","1,306","1,328","1,435","1,374"
EPS in Rs,20.25,16.84,5.69,8.40,21.65,23.98,21.67,21.25,19.66,23.75,24.14,26.09,24.97
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
