,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,1.90%,2.05%,2.44%,2.40%,2.51%,2.58%,2.61%,2.74%,3.06%,3.49%,3.59%,3.63%
DIIs +,6.70%,6.39%,5.52%,5.50%,5.50%,6.06%,6.02%,6.63%,7.13%,6.96%,6.96%,8.13%
Public +,16.40%,16.54%,17.02%,17.09%,16.96%,16.33%,16.35%,15.61%,14.79%,14.54%,14.44%,13.23%
No. of Shareholders,"1,33,658","1,46,063","1,44,018","1,42,596","1,56,136","1,47,907","1,45,083","1,48,764","1,28,148","1,24,857","1,25,812","1,24,650"
