,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,14.72%,14.72%,11.45%,10.14%,10.14%,6.52%,6.52%,6.52%,6.52%,3.34%,3.34%,1.74%
FIIs +,23.76%,45.76%,44.80%,47.70%,48.46%,51.54%,50.89%,47.70%,46.60%,46.23%,47.50%,44.75%
DIIs +,53.28%,31.71%,36.00%,34.06%,34.34%,35.09%,36.89%,39.92%,40.74%,43.99%,42.69%,47.29%
Public +,8.24%,7.81%,7.74%,8.09%,7.05%,6.85%,5.69%,5.84%,6.14%,6.42%,6.47%,6.21%
No. of Shareholders,"68,088","69,805","70,914","81,463","67,708","63,966","59,682","65,260","67,021","65,804","68,531","68,062"
