,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,239,446,208,302,378,450,362,431,450,576
Expenses +,236,362,192,248,282,316,277,324,337,398
Operating Profit,3,84,16,55,96,134,85,107,113,178
OPM %,1%,19%,8%,18%,25%,30%,23%,25%,25%,31%
Other Income +,3,41,-1,1,3,3,4,11,-0,-0
Interest,23,32,21,25,24,21,11,9,11,11
Depreciation,9,11,8,8,9,8,8,9,9,10
Profit before tax,-26,83,-13,23,67,108,70,99,93,156
Tax %,-3%,17%,5%,27%,28%,7%,27%,24%,14%,30%
Net Profit +,-25,69,-14,17,48,100,51,76,80,109
EPS in Rs,-8.51,21.10,-4.10,0.86,2.44,4.38,2.24,3.34,3.53,4.79
Raw PDF,,,,,,,,,,
