,Dec 2024,Mar 2025
Promoters +,63.72%,63.72%
FIIs +,5.48%,5.38%
DIIs +,4.45%,4.02%
Public +,23.52%,24.29%
Others +,2.85%,2.58%
No. of Shareholders,"67,583","57,714"
