,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,86,129,0,136,207,34,172,145,205,235,-45,396
Cash from Investing Activity +,133,-45,37,-25,-30,-150,-167,-165,-458,-44,-449,-518
Cash from Financing Activity +,-243,-74,-55,-114,-116,67,-7,25,248,-145,454,170
Net Cash Flow,-24,10,-18,-3,61,-49,-1,5,-5,46,-40,47
