,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,252,86,832,"1,052",674,292
Cash from Investing Activity +,-587,-430,-364,-404,-337,-476
Cash from Financing Activity +,445,42,133,-251,-339,-39
Net Cash Flow,110,-302,601,397,-3,-222
