,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,427,106,595,244,456,457,718,454,401,469,589,423
Cash from Investing Activity +,-180,-127,-179,-237,-296,-595,-320,-200,-203,-234,-389,-381
Cash from Financing Activity +,-244,20,-415,6,-167,127,-377,-270,-186,-214,-235,-28
Net Cash Flow,4,-1,1,12,-6,-11,21,-16,12,21,-35,15
