,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,,337,76,55,56,64,56,47
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,,337,76,55,56,64,56,47
Working Capital Days,,216,37,-4,-23,-17,-18,-13
ROCE %,,20%,18%,14%,25%,30%,38%,41%
