,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,67.80%,69.41%,67.93%,67.93%,67.93%,67.03%,66.96%,62.95%,62.88%,59.81%,59.75%,59.75%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,1.72%,1.75%,3.82%,3.35%,4.53%,3.37%,3.07%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.24%,0.32%,0.46%,0.44%,1.25%,4.64%,6.50%,7.60%
Public +,32.20%,30.58%,32.07%,32.07%,31.83%,30.92%,30.83%,32.79%,32.52%,31.02%,30.37%,29.60%
No. of Shareholders,"3,855","4,588","5,227","5,544","5,969","6,789","8,161","10,305","15,276","15,954","17,939","20,057"
