,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,74.62%,74.62%,74.62%,74.62%,72.37%,72.37%,70.12%,70.12%,70.12%,68.11%,68.11%,68.11%
FIIs +,0.00%,0.04%,0.02%,0.01%,0.27%,0.86%,1.26%,2.28%,4.14%,3.45%,3.44%,3.86%
DIIs +,18.45%,2.15%,2.15%,1.49%,2.26%,1.01%,2.05%,1.92%,0.92%,2.00%,1.73%,1.71%
Public +,6.93%,23.19%,23.21%,23.88%,25.10%,25.77%,26.55%,25.68%,24.82%,26.43%,26.70%,26.32%
No. of Shareholders,"18,229","24,348","26,456","29,778","46,791","96,707","1,27,324","1,75,669","2,27,473","2,93,306","3,09,767","3,83,418"
