,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,16,11,15,15,12,13,14
Inventory Days,61,57,55,58,53,58,56
Days Payable,101,85,60,69,59,56,19
Cash Conversion Cycle,-24,-17,10,4,6,14,51
Working Capital Days,-9,-5,11,5,8,14,12
ROCE %,,27%,21%,19%,15%,10%,21%
