,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,296,296,296,297,372,372,372,372,372,372,372,391
Reserves,"72,712","53,579","43,743","60,128","62,940","61,925","54,263","61,906","65,011","39,051","30,350","40,821"
Borrowings +,"80,566","77,752","67,778","71,569","58,159","66,226","59,187","57,669","53,583","80,329","87,706","75,186"
Other Liabilities +,"60,545","58,654","80,163","64,952","58,896","70,045","66,915","63,549","74,981","69,703","69,690","86,895"
Total Liabilities,"214,120","190,281","191,980","196,946","180,367","198,568","180,737","183,496","193,947","189,455","188,118","203,293"
Fixed Assets +,"87,205","70,108","67,231","76,756","80,279","96,397","88,904","90,470","93,466","95,744","98,963","102,862"
CWIP,"43,128","38,748","38,461","27,557","32,055","24,959","18,585","16,314","15,879","19,529","22,889","30,939"
Investments,"37,910","39,606","53,386","46,962","28,700","33,065","24,753","16,660","17,291","13,150","11,869","14,532"
Other Assets +,"45,877","41,819","32,903","45,671","39,333","44,147","48,495","60,052","67,311","61,032","54,397","54,960"
Total Assets,"214,120","190,281","191,980","196,946","180,367","198,568","180,737","183,496","193,947","189,455","188,118","203,293"
