,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,91,100,76,63,86,81
Inventory Days,146,135,146,150,148,43
Days Payable,458,446,310,332,393,151
Cash Conversion Cycle,-222,-212,-88,-119,-160,-27
Working Capital Days,44,33,44,39,64,115
ROCE %,,19%,20%,23%,23%,20%
