,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,,-42,218,556,376,386,605,456,580,587,777,"1,200"
Cash from Investing Activity +,,441,-25,-316,-260,-35,37,-402,-125,98,-104,-82
Cash from Financing Activity +,,-404,-174,-300,-92,-359,-468,-239,-426,-712,-671,"-1,116"
Net Cash Flow,,-5,19,-61,24,-7,174,-185,29,-27,3,2
