,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,19.72%,18.11%,18.12%,19.57%,19.68%,19.68%,22.00%,22.00%,22.10%
FIIs +,23.25%,17.65%,19.86%,14.67%,13.12%,8.89%,19.96%,27.33%,13.79%
DIIs +,22.84%,32.76%,30.21%,18.50%,12.20%,12.25%,12.86%,10.63%,15.60%
Public +,34.19%,31.48%,31.80%,47.26%,55.00%,59.18%,45.16%,40.03%,48.49%
No. of Shareholders,"96,309","1,02,176","1,22,969","1,93,976","2,67,934","3,38,342","2,87,451","4,05,037","5,78,435"
