,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,63.06%,63.06%,63.17%,63.17%,63.17%,63.17%,63.17%,63.17%,63.17%
FIIs +,15.89%,13.04%,11.68%,9.36%,4.47%,4.00%,8.58%,8.76%,7.19%
DIIs +,16.43%,18.50%,18.54%,17.81%,12.49%,12.66%,15.50%,15.95%,16.34%
Public +,4.62%,5.40%,6.61%,9.66%,19.87%,20.17%,12.76%,12.14%,13.29%
No. of Shareholders,"3,83,371","4,71,048","4,92,165","5,84,236","9,86,752","12,81,743","10,16,936","14,99,202","21,20,567"
