,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,61.99%,61.81%,61.78%,61.63%,57.56%,57.53%,57.41%,57.33%,56.96%
FIIs +,5.16%,5.58%,4.13%,3.50%,7.73%,7.08%,9.40%,7.34%,10.61%
DIIs +,7.58%,10.49%,13.78%,19.71%,20.59%,21.23%,18.86%,20.63%,18.97%
Public +,25.28%,22.12%,20.31%,15.16%,14.12%,14.17%,14.33%,14.70%,13.44%
No. of Shareholders,"60,363","55,905","56,929","56,358","1,01,161","1,15,440","1,32,103","1,36,412","1,43,560"
