,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,162,187,199,264,321,318,401,477
Cash from Investing Activity +,-19,-31,-84,2,-131,-102,-188,-132
Cash from Financing Activity +,-138,-158,-97,-272,-204,-205,-224,-338
Net Cash Flow,5,-3,18,-6,-13,12,-10,7
