,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,45,19,20,11,9,12,14
Inventory Days,114,135,160,122,150,128,119
Days Payable,123,100,113,77,62,34,39
Cash Conversion Cycle,35,54,68,56,97,106,94
Working Capital Days,53,61,53,37,105,81,56
ROCE %,,-1%,5%,13%,7%,6%,7%
