,Mar 2009,Mar 2010,Mar 2024,Mar 2025
Cash from Operating Activity +,56,42,-71,"1,450"
Cash from Investing Activity +,-140,-85,-388,-882
Cash from Financing Activity +,79,51,474,-564
Net Cash Flow,-6,8,14,4
