,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,384,408,455,498,577,693,739,763,915,978,989,"1,057","1,166"
Interest,110,119,144,159,173,230,216,224,281,320,352,385,458
Expenses +,158,164,149,143,152,194,207,178,241,272,"1,260",632,615
Financing Profit,116,126,163,196,251,269,316,361,393,386,-622,40,93
Financing Margin %,30%,31%,36%,39%,44%,39%,43%,47%,43%,39%,-63%,4%,8%
Other Income +,44,59,58,52,23,40,829,11,7,18,8,0,7
Depreciation,14,12,14,16,19,15,15,15,14,15,16,15,20
Profit before tax,147,173,207,232,254,293,"1,130",357,385,390,-630,25,80
Tax %,19%,18%,21%,21%,22%,23%,24%,26%,14%,25%,-25%,26%,22%
Net Profit +,119,141,163,182,199,226,860,265,332,292,-471,19,62
EPS in Rs,1.55,1.84,2.13,2.38,2.58,2.94,11.19,3.45,4.28,3.76,-6.06,0.24,0.80
Gross NPA %,,2.19%,1.52%,,,,,,,,,,
Net NPA %,,0.95%,0.83%,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
