,Mar 2023,Mar 2024,Mar 2025
FIIs +,67.63%,63.63%,51.99%
DIIs +,13.03%,19.62%,30.04%
Public +,19.34%,16.73%,17.99%
No. of Shareholders,"82,587","92,984","1,72,942"
