,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"3,737","1,036","1,301","1,225","4,533","1,620","1,647","4,390","7,746","4,171","5,624","8,977"
Cash from Investing Activity +,"-1,393",-502,"-1,380","-4,332","-4,593","-6,119","-5,812","-2,212",-763,"-2,499","-3,151","-7,160"
Cash from Financing Activity +,-946,"-1,231",63,-68,98,"4,416","4,163","-2,037","-7,001","-1,735","-1,985","-2,196"
Net Cash Flow,"1,398",-696,-16,"-3,174",39,-83,-2,140,-18,-62,487,-379
