,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,1.88%,1.36%,2.70%,2.02%,1.85%,1.74%
DIIs +,4.37%,0.94%,0.42%,0.35%,0.63%,0.51%
Public +,18.75%,22.70%,21.87%,22.62%,22.51%,22.74%
No. of Shareholders,"13,67,953","21,47,272","22,43,293","26,16,555","26,19,358","26,79,938"
