,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,74.99%,74.98%,74.98%,74.93%,74.64%,74.64%,74.64%,74.64%,74.64%,74.64%,74.64%,74.64%
FIIs +,8.59%,8.72%,8.63%,8.17%,8.17%,7.67%,7.96%,8.26%,9.22%,9.95%,8.96%,8.18%
DIIs +,6.88%,7.04%,7.11%,7.49%,7.66%,8.25%,8.45%,8.51%,7.95%,7.43%,8.07%,9.08%
Government +,0.02%,0.03%,0.03%,0.03%,0.04%,0.04%,0.06%,0.06%,0.07%,0.07%,0.07%,0.07%
Public +,9.52%,9.23%,9.24%,9.37%,9.49%,9.41%,8.87%,8.50%,8.09%,7.91%,8.24%,8.04%
No. of Shareholders,"7,93,537","7,47,199","7,63,438","8,35,850","8,13,245","8,15,562","7,40,037","6,84,326","6,19,843","5,90,252","7,09,582","6,71,850"
