,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,-447,-155,176,605,907,638,113,456,80,-374,73
Cash from Investing Activity +,828,-2,-36,282,-474,-209,88,151,33,272,-218
Cash from Financing Activity +,-53,-70,-84,-502,-247,-150,-160,-41,-95,-90,-103
Net Cash Flow,328,-227,56,385,185,279,41,567,19,-192,-249
