,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,,90,91,278,301,240,451,637,592,900
Cash from Investing Activity +,,-67,-140,-165,-91,-355,-375,-349,"-1,377",-462
Cash from Financing Activity +,,-32,56,-130,-223,142,-58,-283,889,-425
Net Cash Flow,,-9,7,-18,-13,27,17,5,105,13
