,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,73.00%,72.96%,72.94%,72.92%,72.91%,72.93%,72.90%,72.89%,72.82%,72.80%,72.75%,72.73%
FIIs +,6.95%,6.58%,6.30%,6.38%,6.32%,6.47%,6.70%,6.96%,7.12%,7.27%,7.81%,8.35%
DIIs +,3.43%,7.96%,7.84%,8.01%,7.56%,8.03%,8.13%,8.28%,8.25%,8.71%,8.20%,7.47%
Public +,16.36%,12.29%,12.73%,12.51%,13.05%,12.43%,12.16%,11.76%,11.68%,11.10%,11.12%,11.31%
Others +,0.25%,0.21%,0.19%,0.18%,0.16%,0.14%,0.13%,0.11%,0.11%,0.11%,0.11%,0.11%
No. of Shareholders,"24,01,894","26,70,785","27,65,513","26,91,329","27,79,436","25,93,087","25,21,361","23,97,648","23,69,089","22,36,752","23,58,943","24,31,180"
