,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,216,-71,98,454,339,494
Cash from Investing Activity +,-128,-6,-63,-334,-84,-169
Cash from Financing Activity +,-82,74,-32,-102,-205,-191
Net Cash Flow,5,-3,4,19,50,134
