,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"2,269","3,394","3,538","3,853","3,934","2,491","2,082","3,700","2,952","2,084","6,234","3,838"
Cash from Investing Activity +,-363,-422,"-3,272",-762,-215,-55,301,"-1,030","-1,387","-6,778","-8,197","-23,613"
Cash from Financing Activity +,"-1,859","-2,327","-1,622","-2,595","-3,968","-2,523","-1,962","-2,515",-781,"7,327","1,675","20,223"
Net Cash Flow,48,645,"-1,357",496,-249,-87,421,155,784,"2,634",-289,449
