,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,664,653,946,879,"1,157","1,361","1,546","1,898","2,231","1,532","2,199"
Cash from Investing Activity +,-364,-175,"-1,114",-717,"-1,121",-521,"-1,826","-1,585",-841,"-1,103","-1,519"
Cash from Financing Activity +,-327,-256,-160,-84,-169,-243,-297,-328,"-1,359",-316,-754
Net Cash Flow,-27,223,-328,78,-133,597,-577,-15,31,113,-74
