,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,130,52,156,141,222,-37,424,393,477
Cash from Investing Activity +,-106,-25,-51,-111,41,-121,-771,-153,-97
Cash from Financing Activity +,-16,-37,-25,-91,-6,-62,326,-232,-378
Net Cash Flow,8,-10,80,-62,257,-220,-21,8,3
