,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,479,24,195,966,493,-179,172,485,865,822,"1,100","1,424"
Cash from Investing Activity +,"2,503",213,122,"-1,001",-333,"-3,279",63,-131,-501,-372,-889,-779
Cash from Financing Activity +,"-3,217",-304,-354,259,-672,"4,257",-862,-143,-517,-471,-86,-714
Net Cash Flow,-235,-66,-37,225,-513,799,-627,212,-153,-21,125,-69
