,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,"1,889","1,894","1,897","1,850","1,850","1,850","1,850","2,695","2,695","2,695","2,695","2,638"
Reserves,"16,149","15,126","16,345","13,650","15,115","12,682","11,693","13,182","19,456","18,415","24,344","29,860"
Borrowings +,"3,342","2,582",0,278,0,6,"4,627","21,576","19,726","19,185","20,531","21,156"
Other Liabilities +,"7,255","7,552","2,461","5,163","2,661","2,577","1,584","7,491","6,091","6,278","8,298","9,516"
Total Liabilities,"28,636","27,155","20,703","20,941","19,625","17,115","19,754","44,944","47,968","46,572","55,868","63,170"
Fixed Assets +,"15,320","14,812","6,063","5,794","5,595","5,332","6,714","31,800","31,826","32,384","39,300","44,380"
CWIP,153,226,70,58,110,118,54,274,179,355,422,567
Investments,"7,480","5,882","10,059","11,172","12,327","9,906","11,170","2,271","1,652",276,3,"1,486"
Other Assets +,"5,682","6,234","4,511","3,916","1,593","1,759","1,815","10,598","14,311","13,559","16,143","16,737"
Total Assets,"28,636","27,155","20,703","20,941","19,625","17,115","19,754","44,944","47,968","46,572","55,868","63,170"
