,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,63.44%,67.43%,74.27%,86.75%,89.07%,83.49%,83.49%,74.76%,74.76%
FIIs +,5.02%,5.01%,3.15%,1.29%,0.66%,1.18%,1.66%,6.75%,7.11%
DIIs +,20.80%,19.89%,13.15%,6.37%,4.37%,7.05%,8.27%,12.24%,11.63%
Public +,10.74%,7.68%,9.42%,5.59%,5.90%,8.27%,6.57%,6.25%,6.50%
No. of Shareholders,"2,37,105","2,42,378","2,70,916","2,99,546","6,31,887","7,61,809","7,83,550","9,14,940","10,41,211"
