,Mar 2015,Mar 2016,Mar 2018,Mar 2019
Cash from Operating Activity +,-20,-51,-476,-951
Cash from Investing Activity +,-0,-5,16,14
Cash from Financing Activity +,38,46,408,"1,025"
Net Cash Flow,17,-10,-53,88
