,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,7,7,46,58,64,64
Reserves,96,131,156,901,"2,423","2,776"
Borrowings +,153,141,189,155,323,903
Other Liabilities +,122,141,231,304,456,898
Total Liabilities,378,419,622,"1,418","3,265","4,641"
Fixed Assets +,66,72,113,132,319,936
CWIP,12,13,8,29,105,300
Investments,2,2,2,3,132,132
Other Assets +,299,333,499,"1,254","2,709","3,273"
Total Assets,378,419,622,"1,418","3,265","4,641"
