,Dec 2024,Mar 2025
Promoters +,82.50%,82.50%
FIIs +,6.70%,7.17%
DIIs +,7.13%,7.00%
Public +,3.67%,3.32%
No. of Shareholders,"12,62,367","11,51,436"
