,Mar 2009,Mar 2010,Mar 2024,Mar 2025
Debtor Days,3,4,0,0
Inventory Days,14,24,94,60
Days Payable,18,20,12,15
Cash Conversion Cycle,-1,8,83,45
Working Capital Days,-1,6,51,22
ROCE %,,12%,,13%
