,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2020,Mar 2024,Mar 2025
Equity Capital,28,28,28,28,41,,43,43
Reserves,248,275,309,335,802,,"3,180","3,591"
Borrowings +,5,32,27,22,0,,156,190
Other Liabilities +,127,171,211,289,465,,"3,853","4,638"
Total Liabilities,408,506,576,674,"1,308",,"7,233","8,462"
Fixed Assets +,64,110,128,138,254,,759,777
CWIP,16,5,4,21,10,,61,97
Investments,3,3,3,0,0,,0,2
Other Assets +,325,388,441,515,"1,043",,"6,413","7,587"
Total Assets,408,506,576,674,"1,308",,"7,233","8,462"
