,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,56,56,56,56,56,55,55,55,55,55,56,56
Reserves,"1,532","1,788","1,774","2,061","2,288","2,509","2,506","2,902","3,061","3,411","4,203","5,254"
Borrowings +,6,147,214,211,283,368,711,577,573,"1,218",788,513
Other Liabilities +,356,582,668,798,773,927,870,940,"1,072","1,815","1,883","1,872"
Total Liabilities,"1,950","2,574","2,713","3,126","3,400","3,860","4,142","4,475","4,762","6,500","6,928","7,695"
Fixed Assets +,337,789,657,751,798,978,"1,305","1,361","1,345","2,825","2,826","3,000"
CWIP,7,10,10,26,52,104,146,88,13,44,57,8
Investments,93,101,160,196,143,55,41,34,445,518,436,502
Other Assets +,"1,514","1,674","1,886","2,153","2,409","2,723","2,650","2,992","2,959","3,113","3,609","4,186"
Total Assets,"1,950","2,574","2,713","3,126","3,400","3,860","4,142","4,475","4,762","6,500","6,928","7,695"
