,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-32,857,973,"1,214"
Cash from Investing Activity +,"-7,711",-101,-463,-964
Cash from Financing Activity +,"8,116",-545,-751,-256
Net Cash Flow,374,211,-241,-6
