,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,25,25,42,40,40,39,50,60,43,33,28,30
Inventory Days,290,325,437,356,299,161,171,594,335,913,"1,952",998
Days Payable,131,109,103,120,101,88,117,327,162,318,398,150
Cash Conversion Cycle,184,241,376,276,238,111,104,327,217,627,"1,581",878
Working Capital Days,132,162,217,202,76,73,110,257,217,247,344,458
ROCE %,6%,5%,4%,8%,7%,11%,10%,5%,8%,8%,6%,8%
