,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,28,28,28,55,55,55,55,55,55,55,55,55
Reserves,530,588,735,838,935,"1,043","1,132","1,309","1,513","1,750","2,000","2,200"
Borrowings +,16,15,15,8,0,0,0,12,15,51,83,84
Other Liabilities +,259,309,311,309,349,347,404,485,532,549,628,718
Total Liabilities,833,940,"1,089","1,210","1,339","1,445","1,592","1,862","2,116","2,406","2,766","3,057"
Fixed Assets +,375,360,350,368,342,345,385,370,386,586,756,886
CWIP,6,7,14,6,25,43,29,24,67,124,128,25
Investments,35,35,135,145,171,183,583,713,531,642,689,892
Other Assets +,418,538,590,690,802,875,595,755,"1,133","1,054","1,193","1,254"
Total Assets,833,940,"1,089","1,210","1,339","1,445","1,592","1,862","2,116","2,406","2,766","3,057"
