,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%,67.53%
FIIs +,1.31%,1.24%,1.37%,1.66%,1.73%,2.52%,2.82%,3.34%,3.30%,3.26%,3.28%,2.75%
DIIs +,0.00%,0.00%,0.02%,0.05%,0.02%,0.03%,0.04%,0.06%,0.05%,0.06%,0.07%,0.07%
Public +,31.16%,31.23%,31.08%,30.76%,30.72%,29.91%,29.62%,29.09%,29.12%,29.14%,29.12%,29.64%
No. of Shareholders,"53,462","56,413","51,760","48,201","54,667","90,389","89,478","1,11,902","1,29,244","1,30,765","1,34,974","1,68,469"
