,Mar 2009,Mar 2010,Mar 2024,Mar 2025
Equity Capital,7,7,22,22
Reserves,45,47,"1,550","1,695"
Borrowings +,235,314,"2,698","2,570"
Other Liabilities +,73,98,464,577
Total Liabilities,359,466,"4,735","4,865"
Fixed Assets +,166,322,"2,767","3,274"
CWIP,128,33,238,284
Investments,0,0,30,37
Other Assets +,65,111,"1,699","1,270"
Total Assets,359,466,"4,735","4,865"
