,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,24.00%,24.00%,20.00%,20.00%,20.00%,20.00%,15.00%,15.00%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,14.67%,11.38%,11.34%
DIIs +,50.16%,45.53%,43.72%,41.96%,35.92%,18.48%,23.15%,15.41%
Public +,25.85%,30.47%,36.30%,38.02%,44.07%,46.85%,50.47%,58.25%
No. of Shareholders,"1,36,140","1,41,700","1,44,902","1,77,148","6,94,979","8,28,853","8,43,101","15,29,589"
