,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,444,500,704,768,747,"1,097",852
Cash from Investing Activity +,-409,-168,-256,-574,-468,-715,-94
Cash from Financing Activity +,-735,-301,-189,-152,-145,-164,-814
Net Cash Flow,-700,32,259,42,134,219,-56
