,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"-7,064","-9,870","-10,439","-20,566","-29,062","-24,412",-807,"-37,090","-42,112","-72,760","-68,154"
Cash from Investing Activity +,-360,-687,"-3,047","1,075","-5,379","-8,758",-429,"6,347","-10,394","-7,171","-2,765"
Cash from Financing Activity +,"6,867","11,656","12,513","19,503","34,449","34,167","1,741","32,275","50,675","82,415","70,527"
Net Cash Flow,-557,"1,100",-972,13,9,998,505,"1,532","-1,831","2,484",-392
