,Sep 2024,Dec 2024,Mar 2025
Promoters +,36.78%,36.78%,36.78%
FIIs +,4.18%,2.11%,2.89%
DIIs +,5.16%,4.55%,2.93%
Public +,48.41%,51.25%,52.14%
Others +,5.48%,5.33%,5.27%
No. of Shareholders,"14,25,352","15,69,436","16,72,130"
