,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%,85.44%
FIIs +,0.60%,0.60%,0.62%,0.65%,0.66%,0.69%,0.77%,0.81%,0.80%,0.86%,0.84%,0.91%
DIIs +,12.16%,11.90%,11.92%,11.93%,11.93%,11.93%,11.71%,11.76%,11.64%,11.28%,11.18%,11.20%
Public +,1.80%,2.06%,2.02%,1.98%,1.97%,1.94%,2.09%,1.98%,2.12%,2.43%,2.55%,2.45%
No. of Shareholders,"1,31,147","1,34,077","1,32,799","1,32,202","1,29,691","1,27,031","1,26,366","1,41,734","1,50,983","1,56,767","1,62,803","1,62,144"
