,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,74.26%,73.00%,73.00%,73.11%,73.11%,73.11%,73.11%,73.15%,73.17%,73.17%,73.17%,73.17%
FIIs +,4.23%,4.17%,4.18%,4.06%,4.07%,3.04%,2.90%,2.86%,2.82%,3.29%,3.38%,3.40%
DIIs +,6.62%,8.15%,8.25%,8.40%,8.54%,9.54%,9.70%,9.81%,9.82%,10.17%,9.99%,10.08%
Public +,14.89%,14.68%,14.57%,14.43%,14.28%,14.32%,14.28%,14.18%,14.20%,13.38%,13.45%,13.35%
No. of Shareholders,"32,680","31,674","30,490","29,965","29,630","26,365","26,382","25,541","27,006","26,404","37,677","36,665"
