,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"-1,175","-3,900","-4,060","-1,313","-2,169"
Cash from Investing Activity +,"1,282","-9,160","3,968","1,472","-1,372"
Cash from Financing Activity +,14,"13,634",-172,-123,"3,903"
Net Cash Flow,120,574,-264,37,361
