,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.93%,74.25%,71.02%,70.98%,70.92%,70.78%,71.25%,71.27%,71.27%
FIIs +,4.47%,4.62%,2.74%,2.95%,3.88%,3.22%,2.82%,3.32%,3.07%
DIIs +,1.79%,2.17%,6.15%,6.42%,7.00%,6.94%,7.96%,9.33%,10.55%
Public +,18.81%,18.97%,20.09%,19.65%,18.20%,19.06%,17.98%,16.07%,15.13%
No. of Shareholders,"10,784","11,183","17,191","68,573","1,22,448","3,10,079","3,58,700","2,69,388","2,36,677"
