,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,374","2,619","2,658","2,166","2,317","2,159","2,253","2,274","2,682","2,714","2,420","2,560","2,752"
Expenses +,"1,871","2,175","2,231","1,896","1,837","1,658","1,720","1,734","2,001","2,051","1,840","1,960","2,139"
Operating Profit,503,444,426,269,480,501,533,541,681,664,580,601,614
OPM %,21%,17%,16%,12%,21%,23%,24%,24%,25%,24%,24%,23%,22%
Other Income +,109,106,227,45,57,106,107,66,171,162,90,187,99
Interest,3,3,5,14,26,22,24,36,31,22,41,16,50
Depreciation,120,129,137,149,156,155,160,161,174,163,166,173,178
Profit before tax,490,417,511,151,355,430,456,409,647,640,463,600,485
Tax %,24%,26%,25%,28%,27%,23%,24%,25%,25%,23%,25%,25%,24%
Net Profit +,375,307,382,108,260,332,347,305,487,490,347,449,369
EPS in Rs,19.39,15.88,19.77,5.61,13.44,17.17,17.97,15.80,25.18,25.35,17.95,23.25,19.06
Raw PDF,,,,,,,,,,,,,
