,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,47,78,221,425,222,389,757,453
Cash from Investing Activity +,-40,-35,-118,-283,-290,-327,-420,-392
Cash from Financing Activity +,7,-65,-61,-47,-63,-73,-337,-69
Net Cash Flow,15,-23,42,96,-131,-10,-0,-8
