,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"1,693",781,726,"1,198",663,289,"2,150"
Cash from Investing Activity +,-934,-506,-484,"-3,786",524,138,-270
Cash from Financing Activity +,-762,-8,-531,"2,658",-919,-563,"-1,544"
Net Cash Flow,-3,267,-289,70,268,-136,336
