,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%
FIIs +,1.36%,1.74%
DIIs +,0.94%,0.51%
Public +,22.70%,22.74%
No. of Shareholders,"21,47,272","26,79,938"
