,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,11,11,12,12,612,612,612,616,622,623,630,635
Reserves,"1,543","1,495","1,750","1,831","1,753","1,958","1,981","2,484","2,857","2,892","3,352","3,578"
Borrowings +,0,30,30,30,0,0,0,0,0,0,0,88
Other Liabilities +,155,166,139,179,357,206,288,291,318,345,393,369
Total Liabilities,"1,709","1,702","1,931","2,051","2,722","2,776","2,881","3,392","3,797","3,861","4,375","4,670"
Fixed Assets +,14,7,12,251,258,256,324,301,296,305,331,868
CWIP,0,0,0,0,3,1,2,1,0,2,2,4
Investments,741,835,911,947,993,"1,290","1,885","2,550","2,942","3,023","3,513","3,324"
Other Assets +,954,860,"1,008",854,"1,469","1,229",671,540,559,530,530,475
Total Assets,"1,709","1,702","1,931","2,051","2,722","2,776","2,881","3,392","3,797","3,861","4,375","4,670"
